FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
393,"桟","scaffold",2022-09-27 21:54:20,2023-01-23,7,0,6
394,"銭","coin",2022-09-17 10:57:52,2023-01-18,7,0,6
395,"浅","shallow",2022-09-09 07:31:33,2023-01-10,7,0,6
396,"止","stop",2022-09-17 10:15:23,2023-01-07,7,0,6
397,"歩","walk",2022-10-03 11:13:13,2023-01-15,7,0,7
398,"渉","ford",2022-10-09 20:27:40,2023-01-28,7,0,8
399,"頻","repeatedly",2022-09-27 21:33:05,2023-01-14,7,0,6
400,"肯","agreement",2022-09-17 10:57:52,2023-01-16,7,0,6
401,"企","undertake",2022-10-04 20:22:16,2023-01-22,7,1,8
402,"歴","curriculum",2022-09-29 08:20:43,2023-01-30,7,0,6
403,"武","warrior",2022-09-26 08:18:03,2023-01-09,7,0,6
404,"賦","levy",2022-10-06 21:32:36,2023-01-13,7,0,6
405,"正","correct",2022-09-16 08:21:00,2023-01-03,7,0,6
406,"証","evidence",2022-10-20 20:54:45,2023-02-17,7,0,8
407,"政","politician",2022-10-18 19:38:49,2022-12-06,6,0,7
408,"定","determine",2022-09-29 08:16:56,2023-01-06,7,0,6
409,"錠","lock",2022-10-10 22:11:06,2023-01-11,7,0,6
410,"走","run",2022-10-02 12:38:20,2023-02-05,7,0,6
411,"超","transcend",2022-10-04 19:59:47,2022-12-01,6,0,9
412,"赴","proceed",2022-09-22 21:48:29,2023-01-08,7,0,6
413,"越","surpass",2022-09-22 21:48:29,2023-01-17,7,0,6
414,"是","just so",2022-10-08 09:34:58,2023-01-27,7,0,6
415,"題","topic",2022-10-03 11:06:55,2023-01-11,7,0,6
416,"堤","dike",2022-10-02 12:22:57,2023-01-22,7,0,6
417,"建","build",2022-09-25 13:14:33,2023-01-23,7,0,6
418,"鍵","key",2022-09-25 13:14:33,2023-01-17,7,0,6
419,"延","prolong",2022-09-21 21:53:27,2023-01-23,7,0,6
420,"誕","nativity",2022-10-13 21:52:35,2022-11-29,6,0,7
421,"礎","cornerstone",2022-09-19 08:19:33,2022-12-26,7,0,6
422,"婿","bridegroom",2022-09-22 21:56:10,2023-01-21,7,0,7
423,"衣","garment",2022-09-27 22:07:44,2022-12-28,7,0,6
424,"裁","tailor",2022-10-29 19:37:44,2023-01-30,7,0,8
425,"装","attire",2022-09-19 07:49:47,2022-12-29,7,0,6
426,"裏","back",2022-10-20 20:45:03,2023-01-25,7,0,8
427,"壊","demolition",2022-11-08 14:35:25,2023-02-13,7,2,11
428,"哀","pathetic",2022-09-21 21:35:31,2023-01-21,7,0,6
429,"遠","distant",2022-10-19 10:18:00,2022-12-17,6,0,7
430,"猿","monkey",2022-10-14 10:57:14,2022-12-12,6,0,7
431,"初","first time",2022-10-11 23:15:51,2023-01-11,7,0,8
432,"巾","towel",2022-09-15 07:31:01,2022-12-31,7,0,6
433,"布","linen",2022-09-30 08:32:39,2023-01-12,7,0,6
434,"帆","sail",2022-10-30 12:40:43,2023-02-14,7,0,8
435,"幅","hanging scroll",2022-09-19 07:49:47,2022-12-24,7,0,6
436,"帽","cap",2022-09-27 21:54:20,2022-12-29,7,0,6
437,"幕","curtain",2022-10-18 18:52:20,2022-12-12,6,0,7
438,"幌","canopy",2022-09-23 20:21:42,2023-01-23,7,0,6
439,"錦","brocade",2022-09-16 08:10:05,2022-12-19,7,0,6
440,"市","market",2022-09-20 07:53:34,2023-01-12,7,0,6
441,"柿","persimmon",2022-10-05 20:30:27,2023-01-05,7,0,6
442,"姉","elder sister",2022-09-24 09:48:47,2023-01-10,7,0,6
443,"肺","lungs",2022-10-10 21:04:29,2023-01-31,7,0,6
444,"帯","obi",2022-09-23 20:39:36,2023-01-24,7,0,6
445,"滞","stagnate",2022-10-15 11:22:45,2022-12-03,6,0,7
446,"刺","thorn",2022-09-28 20:18:00,2023-01-01,7,0,6
447,"制","system",2022-09-27 21:54:20,2023-01-05,7,0,6
448,"製","made in...",2022-09-20 08:35:18,2022-12-25,7,0,6
449,"転","revolve",2022-09-14 07:59:27,2022-12-23,7,0,6
450,"芸","technique",2022-11-07 19:17:39,2023-02-13,7,0,8
451,"雨","rain",2022-09-28 20:18:00,2023-01-02,7,0,6
452,"雲","cloud",2022-10-01 10:42:54,2023-02-03,7,0,6
453,"曇","cloudy weather",2022-09-20 08:20:20,2023-01-15,7,0,6
454,"雷","thunder",2022-09-22 21:48:29,2023-01-16,7,0,6
455,"霜","frost",2022-11-02 11:15:23,2022-12-01,5,0,10
456,"冬","winter",2022-09-30 08:05:43,2023-01-25,7,0,6
457,"天","heavens",2022-09-30 08:21:47,2023-01-20,7,0,6
458,"妖","bewitched",2022-09-30 08:05:43,2023-01-21,7,0,6
459,"沃","irrigate",2022-10-04 19:59:47,2023-01-28,7,0,8
460,"橋","bridge",2022-09-22 21:35:43,2023-01-17,7,0,6
461,"嬌","attractive",2022-09-21 21:43:35,2023-01-12,7,0,6
462,"立","stand up",2022-09-13 08:19:51,2023-01-16,7,0,6
463,"泣","cry",2022-10-05 20:04:44,2023-01-24,7,0,6
464,"章","badge",2022-10-05 20:30:27,2023-01-07,7,0,6
465,"競","vie",2022-10-07 12:07:45,2023-02-07,7,0,6
466,"帝","sovereign",2022-10-05 20:33:59,2023-01-20,7,0,6
467,"諦","renunciation",2022-09-25 13:14:33,2023-01-13,7,0,6
468,"童","juvenile",2022-09-29 08:08:38,2022-12-31,7,0,6
469,"瞳","pupil",2022-10-03 11:06:55,2023-02-04,7,0,6
470,"鐘","bell",2022-08-09 20:15:30,2022-08-09,1,1,4
471,"商","make a deal",2022-11-07 19:28:37,2022-12-05,5,0,9
472,"嫡","legitimate wife",2022-10-05 20:30:27,2023-02-06,7,0,6
473,"適","suitable",2022-10-16 21:58:15,2023-02-17,7,1,6
474,"滴","drip",2022-09-30 08:05:43,2023-01-03,7,0,6
475,"敵","enemy",2022-10-04 20:22:16,2023-01-05,7,0,7
476,"匕","spoon",2022-09-30 08:21:47,2023-01-06,7,0,6
477,"叱","scold",2022-09-28 19:47:55,2023-01-10,7,0,6
478,"匂","aroma",2022-09-20 08:35:18,2023-01-23,7,0,6
479,"頃","about that time",2022-10-10 21:00:41,2023-01-17,7,0,7
480,"北","north",2022-10-03 17:10:04,2023-01-21,7,0,6
481,"背","stature",2022-10-10 22:04:16,2023-02-09,7,0,6
482,"比","compare",2022-09-29 08:16:56,2023-01-26,7,0,6
483,"昆","descendants",2022-10-01 09:35:07,2023-01-11,7,0,6
484,"皆","all",2022-10-07 10:55:11,2023-01-08,7,0,6
485,"楷","print-style letters",2022-09-21 21:43:35,2022-12-31,7,0,6
486,"諧","orderliness",2022-09-28 19:33:53,2023-01-11,7,0,6
487,"混","mix",2022-09-19 08:23:34,2022-12-28,7,0,6
488,"渇","thirst",2022-10-01 10:09:55,2023-01-17,7,0,6
489,"謁","audience",2022-09-25 12:37:37,2023-01-19,7,0,6
490,"褐","brown",2022-09-24 10:15:26,2022-12-27,7,0,6
491,"喝","hoarse",2022-10-03 17:06:31,2023-02-05,7,0,6
492,"葛","kudzu",2022-08-11 19:56:10,2022-08-11,1,1,4
493,"旨","delicious",2022-10-04 20:04:57,2023-01-26,7,0,6
494,"脂","fat",2022-10-06 21:21:03,2023-01-14,7,0,6
495,"詣","visit a shrine",2022-09-30 08:21:47,2023-01-26,7,0,6
496,"壱","I (one)",2022-09-22 21:56:10,2023-01-23,7,0,6
497,"毎","every",2022-09-24 09:17:20,2023-01-07,7,0,6
498,"敏","cleverness",2022-10-03 11:43:20,2023-01-30,7,0,6
499,"梅","plum",2022-10-27 22:35:18,2022-12-16,6,0,7
500,"海","sea",2022-10-02 12:55:36,2023-01-21,7,0,6
501,"乞","beg",2022-10-12 10:29:09,2023-02-14,7,0,8
502,"乾","drought",2022-11-09 08:32:12,2022-12-07,5,0,10
503,"腹","abdomen",2022-10-01 10:48:23,2023-01-05,7,0,6
504,"複","duplicate",2022-09-24 10:45:55,2023-01-17,7,0,6
505,"欠","lack",2022-09-22 21:35:43,2023-01-26,7,0,6
506,"吹","blow",2022-10-29 19:37:44,2022-12-17,6,0,7
507,"炊","cook",2022-11-06 22:09:00,2022-11-28,5,0,10
508,"歌","song",2022-10-09 20:22:45,2023-01-28,7,1,7
509,"軟","soft",2022-10-28 22:28:51,2023-02-09,7,0,8
510,"次","next",2022-10-05 20:34:20,2023-02-01,7,0,6
511,"茨","briar",2022-10-01 10:09:55,2023-01-11,7,0,6
512,"資","assets",2022-10-24 22:02:39,2023-02-26,7,1,8
513,"姿","figure",2022-06-21 02:25:27,2022-06-21,1,1,0
514,"諮","consult with",2022-11-20 11:07:01,2022-12-01,4,1,14
515,"賠","compensation",2022-09-26 08:40:56,2023-01-17,7,0,6
516,"培","cultivate",2022-10-14 10:27:52,2023-01-22,7,0,6
517,"剖","divide",2022-09-20 08:35:18,2023-01-17,7,0,6
518,"音","sound",2022-10-11 23:33:17,2023-02-07,7,0,7
519,"暗","darkness",2022-10-02 12:17:27,2022-10-02,1,1,5
520,"韻","rhyme",2022-09-30 08:13:38,2023-01-08,7,0,6
521,"識","discriminating",2022-09-29 08:16:56,2023-01-26,7,0,6
522,"鏡","mirror",2022-10-13 22:11:57,2023-01-17,7,0,8
523,"境","boundary",2022-11-09 08:35:31,2023-03-05,7,0,8
524,"亡","deceased",2022-09-20 08:35:18,2023-01-24,7,0,6
525,"盲","blind",2022-11-06 22:27:13,2022-12-24,6,0,7
526,"妄","delusion",2022-10-01 10:51:32,2023-01-12,7,0,6
527,"荒","laid waste",2022-10-17 11:21:05,2023-02-06,7,1,6
528,"望","ambition",2022-11-13 22:00:03,2023-02-23,7,0,10
529,"方","direction",2022-09-18 17:55:49,2022-12-31,7,0,6
530,"妨","disturb",2022-11-18 21:04:25,2022-12-12,5,1,8
531,"坊","boy",2022-10-07 12:11:32,2023-01-23,7,0,6
532,"芳","perfumed",2022-10-05 20:34:20,2023-01-16,7,0,6
533,"肪","obese",2022-10-05 19:58:39,2023-01-23,7,0,6
534,"訪","call on",2022-09-25 12:37:37,2023-01-24,7,0,6
535,"放","set free",2022-10-01 10:48:23,2023-01-16,7,0,6
536,"激","violent",2022-11-16 22:32:15,2022-12-15,5,0,9
537,"脱","undress",2022-10-05 20:23:39,2023-01-15,7,0,6
538,"説","explanation",2022-10-20 09:19:41,2022-12-08,6,0,7
539,"鋭","pointed",2022-10-12 10:03:49,2023-01-14,7,0,6
540,"曽","formerly",2022-10-01 10:42:54,2023-01-21,7,0,6
541,"増","increase",2022-11-03 21:38:33,2022-11-26,5,0,8
542,"贈","presents",2022-10-01 09:42:51,2023-01-20,7,0,6
543,"東","east",2022-10-07 12:07:45,2023-02-03,7,0,6
544,"棟","ridgepole",2022-10-09 20:16:40,2023-01-15,7,0,6
545,"凍","frozen",2022-10-09 23:49:15,2023-02-06,7,0,6
546,"妊","pregnancy",2022-10-01 10:32:04,2023-02-03,7,0,7
547,"廷","courts",2022-06-24 02:18:06,2022-06-24,1,1,0
548,"染","dye",2022-10-09 21:50:09,2023-01-09,7,0,6
549,"燃","burn",2022-11-24 21:30:10,2022-12-18,5,0,9
550,"賓","V.I.P.",2022-10-08 10:22:18,2023-01-29,7,0,6
551,"歳","year-end",2022-09-30 08:05:43,2022-12-31,7,0,6
552,"県","prefecture",2022-10-04 19:30:46,2023-01-23,7,0,6
553,"栃","horse chestnut (skip)",2022-06-24 02:18:07,2022-06-24,1,1,0
554,"地","ground",2022-07-23 10:36:26,2022-07-23,1,1,4
555,"池","pond",2022-10-11 23:10:18,2023-01-18,7,0,6
556,"虫","insect",2022-10-10 22:04:16,2023-02-13,7,0,6
557,"蛍","lightning bug",2022-10-04 20:09:30,2023-02-07,7,0,6
558,"蛇","snake",2022-11-07 19:36:58,2023-01-01,6,0,8
559,"虹","rainbow",2022-09-26 08:38:48,2023-01-25,7,0,6
560,"蝶","butterfly",2022-11-06 22:32:18,2022-12-21,6,0,8
561,"独","single",2022-11-12 12:10:40,2023-03-04,7,0,8
562,"蚕","silkworm",2022-10-10 22:04:16,2023-02-12,7,0,6
563,"風","wind",2022-10-05 20:30:27,2023-01-29,7,0,6
564,"己","self",2022-10-01 10:51:32,2023-01-18,7,0,6
565,"起","rouse",2022-10-14 10:57:14,2023-01-25,7,0,6
566,"妃","queen",2022-06-30 01:26:57,2022-06-30,1,1,1
567,"改","reformation",2022-11-04 12:40:46,2023-02-16,7,0,8
568,"記","note down",2022-10-15 10:44:19,2023-01-20,7,0,6
569,"包","wrap",2022-10-09 23:49:15,2023-01-09,7,0,6
570,"胞","placenta",2022-11-03 22:14:54,2022-11-29,5,0,8
571,"砲","cannon",2022-10-09 20:37:24,2023-02-09,7,0,6
572,"泡","bubble",2022-10-15 11:40:24,2023-02-11,7,0,6
573,"亀","tortoise",2022-10-04 20:22:16,2023-02-02,7,0,6
574,"電","electricity",2022-10-11 23:23:18,2023-02-03,7,0,6
575,"竜","dragon",2022-10-06 21:32:36,2023-01-15,7,0,6
576,"滝","waterfall",2022-10-04 20:18:02,2023-01-19,7,0,6
577,"豚","pork",2022-10-04 20:04:57,2023-01-27,7,0,6
578,"逐","pursue",2022-10-18 19:17:30,2023-02-15,7,0,6
579,"遂","consummate",2022-10-02 12:55:36,2023-02-02,7,0,6
580,"家","house",2022-10-04 20:04:57,2023-01-28,7,0,6
581,"嫁","marry into",2022-10-14 10:57:14,2023-02-09,7,0,8
582,"豪","overpowering",2022-11-05 22:05:55,2022-12-30,6,0,8
583,"腸","intestines",2022-10-11 23:23:18,2023-01-22,7,0,6
584,"場","location",2022-09-29 08:20:43,2023-01-10,7,0,6
585,"湯","hot water",2022-09-29 07:57:26,2023-01-06,7,0,6
586,"羊","sheep",2022-10-16 21:52:13,2023-02-02,7,0,6
587,"美","beauty",2022-10-25 20:37:48,2023-02-06,7,0,8
588,"洋","ocean",2022-09-29 07:57:26,2023-01-29,7,0,6
589,"詳","detailed",2022-10-11 23:10:18,2023-01-17,7,0,6
590,"鮮","fresh",2022-10-08 10:22:18,2023-02-02,7,1,6
591,"達","accomplished",2022-11-20 12:07:13,2022-12-05,4,0,10
592,"羨","envious",2022-10-12 10:03:49,2023-01-23,7,0,7
593,"差","distinction",2022-11-01 10:29:08,2022-12-29,6,0,7
594,"着","don",2022-10-11 23:33:17,2023-01-15,7,0,6
595,"唯","solely",2022-09-28 19:47:55,2022-11-27,6,0,7
596,"堆","piled high",2022-09-30 07:57:53,2023-01-05,7,0,6
597,"椎","shiitake tree",2022-10-08 09:57:46,2023-02-09,7,0,6
598,"誰","who?",2022-09-29 08:20:43,2023-01-04,7,0,6
599,"焦","char",2022-10-11 23:15:51,2023-02-11,7,0,6
600,"礁","reef",2022-09-30 07:57:53,2023-01-15,7,0,6
601,"集","gather",2022-10-11 23:33:17,2023-01-12,7,0,6
602,"准","quasi-",2022-09-30 08:05:43,2023-01-08,7,0,6
603,"進","advance",2022-10-03 17:09:11,2023-01-26,7,0,6
604,"雑","miscellaneous",2022-10-06 21:21:03,2023-02-02,7,0,6
605,"雌","female",2022-10-09 20:27:40,2023-01-09,7,0,6
606,"準","semi-",2022-11-02 11:21:00,2023-01-02,6,0,7
607,"奮","stirred up",2022-10-10 22:15:10,2023-01-26,7,0,6
608,"奪","rob",2022-10-19 10:18:00,2023-02-22,7,0,6
609,"確","assurance",2022-10-27 22:35:18,2023-02-25,7,0,8
610,"午","noon",2022-10-17 11:21:05,2023-02-05,7,0,6
611,"許","permit",2022-10-02 13:01:33,2023-02-03,7,0,6
612,"歓","delight",2022-10-12 10:13:37,2023-01-21,7,0,6
613,"権","authority",2022-10-25 20:31:57,2022-12-25,6,0,7
614,"観","outlook",2022-10-04 20:18:02,2023-01-25,7,0,6
615,"羽","feathers",2022-10-09 21:45:52,2023-01-24,7,0,6
616,"習","learn",2022-10-07 12:07:45,2023-01-08,7,0,6
617,"翌","the following",2022-10-02 12:55:36,2023-01-30,7,0,6
618,"曜","day of the week",2022-10-15 11:22:45,2023-01-15,7,0,6
619,"濯","laundry",2022-10-09 20:37:24,2023-02-03,7,0,6
620,"曰","sayeth",2022-10-07 12:11:32,2023-01-30,7,0,6
621,"困","quandary",2022-10-14 11:11:31,2023-01-31,7,0,6
622,"固","harden",2022-10-04 20:18:02,2023-01-10,7,0,6
623,"錮","weld",2022-10-12 09:35:12,2023-02-06,7,0,6
624,"国","country",2022-10-15 11:22:45,2023-01-27,7,0,6
625,"団","group",2022-10-09 20:27:40,2023-01-17,7,0,6
626,"因","cause",2022-10-04 20:18:02,2023-02-04,7,0,6
627,"姻","matrimony",2022-10-03 11:13:13,2023-01-05,7,0,6
628,"咽","windpipe",2022-10-17 10:43:33,2023-01-27,7,0,6
629,"園","park",2022-10-30 13:25:03,2022-11-27,5,0,8
630,"回","-times",2022-10-18 19:31:55,2023-02-07,7,0,6
631,"壇","podium",2022-07-01 01:00:39,2022-07-01,1,1,0
632,"店","store",2022-10-23 12:55:43,2023-02-17,7,0,6
633,"庫","warehouse",2022-10-12 10:13:37,2023-02-01,7,0,6
634,"庭","courtyard",2022-07-02 00:48:07,2022-07-02,1,1,0
635,"庁","government office",2022-10-05 20:35:05,2023-02-06,7,0,6
636,"床","bed",2022-10-23 12:20:09,2023-01-29,7,0,6
637,"麻","hemp",2022-10-06 21:45:03,2023-01-14,7,0,6
638,"磨","grind",2022-11-23 21:38:39,2023-03-23,7,0,8
639,"心","heart",2022-09-30 08:33:41,2023-01-11,7,0,6
640,"忘","forget",2022-10-15 11:41:50,2023-02-16,7,0,6
641,"恣","selfish",2022-10-22 16:14:43,2023-02-07,7,0,8
642,"忍","endure",2022-10-10 22:01:41,2023-01-16,7,0,6
643,"認","acknowledge",2022-10-17 11:24:19,2023-01-21,7,0,6
644,"忌","mourning",2022-10-14 11:11:31,2023-02-10,7,0,7
645,"志","intention",2022-10-15 11:41:50,2023-02-13,7,0,6
646,"誌","document",2022-11-10 18:51:20,2022-12-06,5,0,8
647,"芯","wick",2022-10-06 21:38:29,2023-01-15,7,0,6
648,"忠","loyalty",2022-10-19 10:18:00,2023-02-11,7,0,7
649,"串","shish kebab",2022-10-18 19:17:30,2023-02-13,7,0,6
650,"患","afflicted",2022-11-05 22:30:54,2022-11-30,5,0,8
651,"思","think",2022-10-09 20:37:24,2023-02-12,7,0,6
652,"恩","grace",2022-11-21 21:29:52,2022-11-29,3,0,8
653,"応","apply",2022-07-03 01:09:12,2022-07-03,1,1,0
654,"意","idea",2022-10-08 09:49:23,2023-01-30,7,0,6
655,"臆","cowardice",2022-10-11 23:10:18,2023-01-18,7,0,7
656,"想","concept",2022-10-03 17:06:31,2023-01-10,7,0,6
657,"息","breath",2022-10-08 09:57:46,2023-01-16,7,0,6
658,"憩","recess",2022-10-18 19:17:30,2023-01-31,7,0,6
659,"恵","favor",2022-10-12 10:13:37,2023-02-06,7,0,6
660,"恐","fear",2022-10-31 16:05:37,2022-11-26,5,0,8
661,"惑","beguile",2022-11-07 19:17:39,2022-12-03,5,0,10
662,"感","emotion",2022-10-09 21:45:52,2023-01-18,7,0,6
663,"憂","melancholy",2022-09-30 08:33:41,2023-01-19,7,0,6
664,"寡","widow (restudy at 844)",2022-07-04 09:52:19,2022-07-04,1,1,0
665,"忙","busy",2022-11-25 15:04:57,2023-03-20,7,0,8
666,"悦","ecstasy",2022-10-25 20:37:48,2022-12-13,6,0,9
667,"恒","constancy",2022-11-23 21:17:20,2022-12-20,5,0,9
668,"悼","lament",2022-10-06 21:32:36,2023-01-19,7,0,6
669,"悟","enlightenment",2022-11-13 22:45:28,2023-02-19,7,0,10
670,"怖","dreadful",2022-10-24 22:12:30,2023-02-24,7,0,6
671,"慌","disconcerted",2022-10-20 08:51:16,2023-01-31,7,0,6
672,"悔","repent",2022-10-22 16:01:57,2023-01-28,7,0,6
673,"憎","hate",2022-11-13 21:41:07,2022-12-08,5,0,8
674,"慣","accustomed",2022-11-23 21:34:01,2022-12-21,5,0,10
675,"愉","pleasure",2022-10-17 11:24:19,2023-02-12,7,0,6
676,"惰","lazy",2022-07-11 00:12:27,2022-07-11,1,1,1
677,"慎","humility",2022-11-19 08:19:01,2023-01-18,6,0,13
678,"憾","remorse",2022-10-10 22:11:06,2023-02-09,7,0,6
679,"憶","recollection",2022-09-30 08:32:39,2022-11-29,6,0,7
680,"惧","disquieting",2022-10-13 21:37:14,2023-02-05,7,0,6
681,"憧","yearn",2022-10-08 10:22:18,2023-01-30,7,0,6
682,"憬","hanker",2022-10-13 22:04:34,2023-02-11,7,0,7
683,"慕","pining",2022-10-15 11:41:50,2023-02-05,7,0,6
684,"添","annexed",2022-07-08 13:20:44,2022-07-08,1,1,0
685,"必","invariably",2022-11-02 10:53:11,2023-02-25,7,1,6
686,"泌","ooze",2022-11-21 21:05:13,2022-12-17,5,1,8
687,"手","hand",2022-10-21 21:28:33,2023-02-21,7,0,6
688,"看","watch over",2022-11-14 22:03:55,2022-11-26,4,0,8
689,"摩","chafe",2022-10-22 16:01:57,2023-02-18,7,0,6
690,"我","ego",2022-10-22 15:45:58,2023-02-11,7,0,6
691,"義","righteousness",2022-10-07 12:07:45,2023-01-21,7,0,6
692,"議","deliberation",2022-10-29 20:46:56,2023-02-10,7,0,6
693,"犠","sacrifice",2022-10-21 21:28:33,2023-01-31,7,0,6
694,"抹","rub",2022-11-23 09:54:23,2023-03-21,7,0,8
695,"拭","wipe",2022-10-21 20:51:24,2023-02-16,7,0,6
696,"拉","yank",2022-10-23 12:44:12,2023-02-04,7,0,6
697,"抱","embrace",2022-10-20 20:45:03,2023-01-30,7,0,8
698,"搭","board",2022-10-17 11:30:33,2023-01-28,7,0,6
699,"抄","extract",2022-10-18 19:31:55,2023-02-03,7,0,6
700,"抗","confront",2022-10-09 23:49:17,2022-12-04,6,0,8
701,"批","criticism",2022-11-10 23:27:09,2022-12-07,5,0,8
702,"招","beckon",2022-10-30 13:28:35,2023-02-27,7,0,6
703,"拓","clear the land",2022-10-16 22:06:55,2023-02-06,7,0,6
704,"拍","clap",2022-10-24 21:56:18,2023-02-25,7,0,6
705,"打","strike",2022-10-14 11:11:31,2023-02-10,7,0,6
706,"拘","arrest",2022-10-19 10:25:25,2023-02-17,7,0,7
707,"捨","discard",2022-10-23 12:05:20,2023-02-13,7,0,6
708,"拐","kidnap",2022-10-08 09:57:46,2022-11-28,6,0,7
709,"摘","pinch",2022-10-28 22:58:46,2023-02-03,7,0,6
710,"挑","challenge",2022-11-10 23:20:56,2022-12-04,5,0,11
711,"指","finger",2022-11-22 19:56:54,2022-12-19,5,0,12
712,"持","hold",2022-10-21 21:28:33,2023-02-21,7,0,6
713,"拶","imminent",2022-11-20 11:46:23,2022-12-14,5,0,12
714,"括","fasten",2022-10-11 23:23:18,2023-01-12,7,0,6
715,"揮","brandish",2022-10-27 21:24:45,2023-03-02,7,0,6
716,"推","conjecture",2022-10-14 11:11:31,2023-01-21,7,0,6
717,"揚","hoist",2022-11-20 11:46:23,2023-03-05,7,0,8
718,"提","propose",2022-10-24 21:56:18,2023-02-24,7,0,6
719,"損","damage",2022-10-29 19:37:44,2023-02-04,7,0,6
720,"拾","pick up",2022-10-23 12:12:08,2023-02-19,7,0,6
721,"担","shouldering",2022-10-25 20:25:46,2023-02-25,7,0,6
722,"拠","foothold",2022-11-23 09:54:23,2023-01-12,6,0,9
723,"描","sketch",2022-10-16 22:06:08,2022-12-15,6,0,8
724,"操","maneuver",2022-10-21 21:23:03,2023-01-28,7,0,6
725,"接","touch",2022-10-28 22:58:46,2023-02-15,7,0,6
726,"掲","put up a notice",2022-10-30 13:32:28,2023-03-02,7,0,6
727,"掛","hang",2022-10-05 20:30:27,2022-12-04,6,0,9
728,"捗","make headway",2022-11-12 12:04:12,2022-12-05,5,0,10
729,"研","polish",2022-10-12 10:03:49,2022-12-10,6,0,9
730,"戒","commandment",2022-10-12 08:59:30,2022-12-02,6,0,7
731,"弄","tinker with",2022-10-27 21:29:24,2023-02-03,7,0,6
732,"械","contraption",2022-10-19 10:52:12,2023-02-19,7,0,6
733,"鼻","nose",2022-11-05 22:05:55,2022-11-28,5,0,8
734,"刑","punish",2022-10-24 22:14:01,2023-02-01,7,0,8
735,"型","mould",2022-11-23 21:43:40,2022-12-20,5,0,11
736,"才","genius",2022-10-25 20:25:46,2023-02-10,7,0,6
737,"財","property",2022-11-10 18:55:55,2022-12-04,5,0,8
738,"材","lumber",2022-08-29 07:19:12,2022-08-29,1,1,4
739,"存","suppose",2022-10-21 21:23:03,2023-02-17,7,0,6
740,"在","exist",2022-11-01 10:46:10,2023-02-05,7,0,7
741,"乃","from",2022-10-17 10:53:59,2022-12-15,6,0,7
742,"携","portable",2022-11-04 13:06:59,2023-02-09,7,0,8
743,"及","reach out",2022-11-01 10:29:08,2023-02-17,7,0,8
744,"吸","suck",2022-10-01 09:42:51,2022-11-26,6,0,9
745,"扱","handle",2022-07-21 08:23:26,2022-07-21,1,1,2
746,"丈","length",2022-11-04 12:54:39,2023-02-23,7,0,8
747,"史","history",2022-10-19 10:46:49,2023-01-31,7,0,6
748,"吏","officer",2022-11-04 12:54:39,2023-03-06,7,0,8
749,"更","grow late",2022-10-26 10:59:26,2023-02-15,7,0,6
750,"硬","stiff",2022-10-30 13:41:40,2023-02-14,7,0,6
751,"梗","spiny",2022-10-18 19:38:49,2023-01-18,7,0,6
752,"又","or again",2022-10-25 20:18:52,2023-02-17,7,0,6
753,"双","pair",2022-11-14 21:41:42,2022-11-26,4,0,9
754,"桑","mulberry",2022-07-27 20:10:36,2022-07-27,1,1,3
755,"隻","vessels",2022-10-17 10:22:28,2023-01-21,7,0,6
756,"護","safeguard",2022-11-09 16:56:36,2022-12-05,5,0,8
757,"獲","seize",2022-10-09 21:45:52,2022-11-30,6,0,7
758,"奴","guy",2022-10-28 22:47:25,2023-02-17,7,0,6
759,"怒","angry",2022-11-05 22:01:51,2022-11-28,5,0,8
760,"友","friend",2022-10-20 09:07:39,2023-02-04,7,0,6
761,"抜","slip out",2022-07-19 20:41:54,2022-07-19,1,1,1
762,"投","throw",2022-10-21 21:23:03,2023-01-26,7,0,6
763,"没","drown",2022-11-20 11:25:19,2022-12-19,5,0,8
764,"股","thigh",2022-11-04 12:18:43,2023-02-06,7,0,6
765,"設","establishment",2022-10-24 22:14:01,2023-01-26,7,0,6
766,"撃","beat",2022-10-15 09:31:17,2022-12-03,6,0,7
767,"殻","husk",2022-10-27 22:31:54,2023-02-10,7,0,6
768,"支","branch",2022-10-27 21:24:45,2023-02-06,7,0,6
769,"技","skill",2022-10-29 19:36:02,2023-02-09,7,0,6
770,"枝","bough",2022-10-31 15:51:09,2023-02-16,7,0,6
771,"肢","limb",2022-10-21 20:42:31,2023-02-08,7,0,6
772,"茎","stalk",2022-10-17 11:30:33,2023-01-28,7,0,6
773,"怪","suspicious",2022-11-01 10:47:22,2023-02-27,7,0,6
774,"軽","lightly",2022-10-20 20:54:45,2023-02-17,7,0,6
775,"叔","uncle",2022-11-02 10:53:11,2023-02-13,7,0,6
776,"督","coach",2022-11-05 22:25:54,2022-12-22,6,0,9
777,"寂","loneliness",2022-11-07 11:39:29,2022-12-01,5,0,8
778,"淑","graceful",2022-10-23 12:44:12,2023-01-28,7,0,6
779,"反","anti-",2022-10-29 19:36:02,2023-02-19,7,0,6
780,"坂","slope",2022-10-27 22:35:18,2023-02-10,7,0,6
781,"板","plank",2022-10-23 12:53:28,2023-02-06,7,0,6
782,"返","return",2022-11-10 23:20:56,2022-12-10,5,0,8
783,"販","marketing",2022-10-22 15:54:17,2023-02-09,7,0,6
784,"爪","claw",2022-10-25 20:25:46,2023-02-27,7,0,6
785,"妥","gentle",2022-10-19 09:58:48,2023-02-12,7,0,6
