FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
91,"昭","shining",2022-08-15 08:26:44,2022-11-30,7,0,8
92,"則","rule",2022-08-22 19:47:37,2022-12-03,7,0,6
93,"副","vice-",2022-08-13 09:32:22,2022-12-14,7,0,6
94,"別","separate",2022-08-21 12:56:31,2022-12-18,7,1,8
95,"丁","street",2022-08-20 23:37:15,2022-12-13,7,0,6
96,"町","town",2022-08-12 19:15:13,2022-12-11,7,0,8
97,"可","can",2022-11-19 19:58:35,2023-07-04,8,0,8
98,"頂","place on the head",2022-09-28 20:22:47,2023-01-06,7,0,11
99,"子","child",2022-08-16 09:08:48,2022-11-26,7,0,6
100,"孔","cavity",2022-08-19 16:06:37,2022-12-04,7,0,6
101,"了","complete",2022-10-16 22:06:08,2023-02-04,7,1,11
102,"女","woman",2022-11-24 22:04:23,2023-06-07,8,0,7
103,"好","fond",2022-08-15 08:16:03,2022-12-17,7,0,6
104,"如","likeness",2022-09-17 10:41:20,2023-01-20,7,3,10
105,"母","mama",2022-08-27 15:42:15,2022-11-29,7,0,6
106,"貫","pierce",2022-08-18 15:44:38,2022-12-17,7,1,8
107,"兄","elder brother",2022-08-18 16:03:52,2022-12-01,7,0,6
108,"呪","curse",2022-08-21 10:37:09,2022-11-29,7,1,7
109,"克","overcome",2022-09-15 07:43:47,2023-01-19,7,1,9
110,"小","little",2022-11-24 21:53:33,2023-07-21,8,0,7
111,"少","few",2022-08-27 15:47:14,2022-12-10,7,0,6
112,"大","large",2022-08-26 20:30:42,2022-12-28,7,0,6
113,"多","many",2022-11-23 21:38:39,2023-06-13,8,0,7
114,"夕","evening",2022-08-12 18:58:48,2022-12-15,7,0,6
115,"汐","eventide",2022-11-09 17:21:54,2023-07-16,8,0,7
116,"外","outside",2022-08-30 19:48:29,2022-12-25,7,3,7
117,"名","name",2022-08-23 19:14:02,2022-12-02,7,0,6
118,"石","stone",2022-11-16 22:26:48,2023-07-19,8,0,7
119,"肖","resemblance",2022-11-03 22:14:54,2023-02-11,7,0,10
120,"硝","nitrate",2022-09-18 18:00:56,2022-12-24,7,2,9
121,"砕","smash",2022-10-31 15:08:26,2023-02-11,7,0,8
122,"砂","sand",2022-09-12 08:29:23,2023-01-12,7,1,8
123,"妬","jealous",2022-11-01 11:03:39,2023-02-03,7,0,8
124,"削","plane",2022-09-14 07:39:27,2023-01-08,7,1,9
125,"光","ray",2022-08-21 12:51:20,2022-11-25,7,1,7
126,"太","plump",2022-08-18 15:29:18,2022-12-03,7,0,6
127,"器","utensil",2022-08-20 23:48:39,2022-12-18,7,0,6
128,"臭","stinking",2022-08-21 13:02:11,2022-12-20,7,1,6
129,"嗅","sniff",2022-08-15 08:05:22,2022-12-17,7,1,6
130,"妙","exquisite",2022-11-21 21:29:53,2023-02-27,7,0,10
131,"省","focus",2022-08-25 21:50:20,2022-12-20,7,1,7
132,"厚","thick",2022-11-23 21:34:01,2022-12-02,3,0,7
133,"奇","strange",2022-08-26 20:35:23,2022-12-17,7,1,7
134,"川","stream",2022-11-16 21:57:34,2023-07-10,8,0,7
135,"州","state",2022-11-15 21:12:51,2023-06-16,8,0,7
136,"順","obey",2022-08-17 10:53:53,2022-12-14,7,1,7
137,"水","water",2022-08-08 19:10:06,2022-12-05,7,0,6
